Cartographie interactive du SDES; ; 
Référentiel géographique : France par EPCI 2024; ; 
Code;Libellé;Ensemble des surfaces protegées: au moins une mesure de protection 2019
200000172;Communauté de communes Faucigny-Glières;3700.56
200000438;Communauté de communes du Pays de Pontchâteau Saint-Gildas-des-Bois;13392.74
200000545;Communauté de communes des Portes de Romilly-sur-Seine;145.04
200000628;Communauté de communes Rhône Lez Provence;1574.87
200000800;Communauté de communes Cœur de Sologne;34257.54
200000925;Communauté de communes de la Plaine Dijonnaise;2121.84
200000933;Communauté de communes Sauldre et Sologne;49535.48
200004802;Communauté de communes du Pays de Fayence;12683.02
200005932;Communauté de communes des Portes de Sologne;37746.83
200005957;Communauté de communes de la Région de Rambervillers;2325.41
200006682;Communauté d'agglomération Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;21129.63
200006716;Communauté de communes du Nogentais;786.64
200006930;Communauté de communes du Haut Allier;3717.48
200006971;Communauté de communes du Perche;29342.64
200007052;Communauté de communes de la Marche Berrichonne;803.37
200007177;Communauté de communes Pays de Nérondes;2.26
200010650;Communauté d'agglomération du Grand Dole;9803.81
200010700;Communauté d'agglomération Caux Seine Agglo;27592.95
200011773;Communauté d'agglomération Annemasse-Les Voirons-Agglomération;640.17
200011781;Communauté de communes Portes du Berry entre Loire et Val d'Aubois;1226.02
200013050;Communauté de communes Sauer-Pechelbronn;16717.78
200015162;Communauté de communes de l'Oriente;5815.41
200016905;Communauté de communes du Pays de Lamastre;14266.46
200017341;Communauté de communes Lodévois et Larzac;38163.37
200017846;Communauté d'agglomération Étampois Sud Essonne;9971.67
200018083;Communauté de communes de Desvres-Samer;24822.96
200018166;Communauté de communes Le Grésivaudan;17069.63
200018406;Communauté de communes du Romorantinais et du Monestois;37937.07
200018521;Communauté de communes du Val de Bouzanne;0
200018653;Communauté d'agglomération Cap Excellence;6770.98
200022986;Communauté de communes du Grand Pic Saint-Loup;31375.88
200023075;Communauté de communes du Pays de Maîche;11023.24
200023125;Communauté de communes Les Portes Briardes entre Villes et Forêts;0
200023240;Communauté de communes Pays de Nemours;22375.07
200023299;Communauté de communes Cœur de Tarentaise;16299.91
200023307;Communauté d'agglomération du Grand Villeneuvois;89.55
200023372;Communauté de communes de la Vallée de Chamonix-Mont-Blanc;9082.89
200023414;Métropole Rouen Normandie;20564.12
200023620;Communauté de communes de la Gascogne Toulousaine;0
200023737;Communauté d'agglomération du Grand Cahors;17306.97
200023778;Communauté d'agglomération du Pays de Saint-Gilles-Croix-de-Vie;4134.55
200023794;Communauté de communes de Blaye;8837.96
200023919;Communauté de communes Gâtinais Val de Loing;6106.57
200026573;Communauté de communes Haut-Jura Saint-Claude;36657.5
200027027;Communauté de communes Arc Sud Bretagne;5914.25
200027076;Communauté de communes Arnon Boischaut Cher;1988.31
200027100;Communauté de communes Méditerranée Porte des Maures;25263.12
200027183;Communauté urbaine Perpignan Méditerranée Métropole;13521.95
200027217;Communauté de communes Sarlat-Périgord Noir;23443.02
200027308;Communauté de communes d'Auberive Vingeanne et Montsaugeonnais;2552.02
200027548;Communauté de communes des Savanes;244225.86
200029734;Communauté de communes des 4B Sud Charente;17587.74
200029999;Communauté de communes Rives de l'Ain - Pays du Cerdon;1700.3
200030195;Métropole Nice Côte d'Azur;77225.34
200030385;Communauté d'agglomération de Blois "Agglopolys";22777.82
200030435;Communauté de communes d'Aire-sur-l'Adour;915.66
200030526;Communauté de communes du Ried de Marckolsheim;5281.95
200030633;Communauté d'agglomération du Caudrésis et du Catésis;7433.7
200030658;Communauté de communes du Trièves;31177.33
