Géoclip - France découverte; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par Commune 2024; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;risque d'inondations, 2019;risque de mouvements de terrain, 2019;risque de séismes, 2019;risque d'avalanches, 2019;risque de feux de forêt, 2019;risque de lié à des phénomènes atmosphériques, 2019;risque d'éruptions volcaniques, 2019;risque industriel, 2019;risque nucléaire, 2019;risque de rupture de barrage, 2019;risque lié au transport de marchandises dangereuses, 2019;risque lié aux engins de guerre;risque d'affaissements miniers, 2019
1001;L'Abergement-Clémenciat;1;0;2;0;0;0;0;0;0;0;1;0;0
1002;L'Abergement-de-Varey;0;1;3;0;0;0;0;0;0;0;0;0;0
1004;Ambérieu-en-Bugey;1;1;3;0;0;0;0;0;0;0;0;0;0
1005;Ambérieux-en-Dombes;0;0;2;0;0;0;0;0;0;0;1;0;0
1006;Ambléon;0;0;3;0;0;0;0;0;0;0;0;0;0
1007;Ambronay;1;0;3;0;0;0;0;0;0;1;0;0;0
1008;Ambutrix;0;0;3;0;0;0;0;0;0;0;1;0;0
1009;Andert-et-Condon;1;0;3;0;0;0;0;0;0;0;0;0;0
1010;Anglefort;1;0;3;0;0;0;0;1;0;1;0;0;0
1011;Apremont;0;1;3;0;0;0;0;0;0;0;1;0;0
1012;Aranc;0;0;3;0;0;0;0;0;0;0;0;0;0
1013;Arandas;0;0;3;0;0;0;0;0;0;0;0;0;0
1014;Arbent;1;1;3;0;0;0;0;1;0;0;1;0;0
1015;Arboys en Bugey;1;0;3;0;0;0;0;0;0;0;0;0;0
1016;Arbigny;1;0;2;0;0;0;0;0;0;0;1;0;0
1017;Argis;1;1;3;0;0;0;0;0;0;0;0;0;0
1019;Armix;0;0;3;0;0;0;0;0;0;0;0;0;0
1021;Ars-sur-Formans;1;0;2;0;0;0;0;0;0;0;1;0;0
1022;Artemare;1;1;3;0;0;0;0;0;0;0;0;0;0
1023;Asnières-sur-Saône;1;0;2;0;0;0;0;0;0;0;0;0;0
1024;Attignat;1;0;2;0;0;0;0;1;0;0;1;0;0
1025;Bâgé-Dommartin;1;0;2;0;0;0;0;0;0;0;1;0;0
1026;Bâgé-le-Châtel;1;0;2;0;0;0;0;0;0;0;1;0;0
1027;Balan;1;0;3;0;0;0;0;1;0;1;1;0;0
1028;Baneins;1;0;2;0;0;0;0;0;0;0;1;0;0
