SIRSé; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Part de la population en emploi précaire 2022
01001;L'Abergement-Clémenciat;9.9
01002;L'Abergement-de-Varey;8.3
01004;Ambérieu-en-Bugey;18
01005;Ambérieux-en-Dombes;10.6
01006;Ambléon;11.9
01007;Ambronay;10.9
01008;Ambutrix;8.3
01009;Andert-et-Condon;19.3
01010;Anglefort;12.9
01011;Apremont;11.3
01012;Aranc;10.6
01013;Arandas;12.2
01014;Arbent;16.2
01015;Arboys en Bugey;18.6
01016;Arbigny;14
01017;Argis;17
01019;Armix;14.3
01021;Ars-sur-Formans;11.3
01022;Artemare;17.2
01023;Asnières-sur-Saône;10.7
01024;Attignat;11.8
01025;Bâgé-Dommartin;10.9
01026;Bâgé-le-Châtel;15.5
01027;Balan;25.7
01028;Baneins;10.6
01029;Beaupont;12.7
01030;Beauregard;14.7
01031;Bellignat;24.2
01032;Béligneux;17.2
01033;Valserhône;16.4
01034;Belley;19.9
01035;Belleydoux;16.2
01036;Valromey-sur-Séran;15.8
01037;Bénonces;12.4
01038;Bény;14
01040;Béréziat;10.1
01041;Bettant;10.7
01042;Bey;10.1
01043;Beynost;9.7
01044;Billiat;11
01045;Birieux;10.9
01046;Biziat;18
01047;Blyes;9.5
01049;La Boisse;10.3
01050;Boissey;10.3
01051;Bolozon;16.7
01052;Bouligneux;4.5
01053;Bourg-en-Bresse;20.9
01054;Bourg-Saint-Christophe;8.1
01056;Boyeux-Saint-Jérôme;15.8
01057;Boz;10.8
01058;Brégnier-Cordon;15.8
01060;Brénod;10.7
01061;Brens;10.8
01062;Bressolles;13.9
01063;Brion;14.1
01064;Briord;16
01065;Buellas;9.6
01066;La Burbanche;26.9
01067;Ceignes;12
01068;Cerdon;17.8
01069;Certines;9
01071;Cessy;9.9
01072;Ceyzériat;10.1
01073;Ceyzérieu;12.9
01074;Chalamont;14.2
01075;Chaleins;12.5
01076;Chaley;11.6
01077;Challes-la-Montagne;9.8
01078;Challex;12.2
01079;Champagne-en-Valromey;16.5
01080;Champdor-Corcelles;12.6
01081;Champfromier;10.7
01082;Chanay;13.5
01083;Chaneins;12.4
01084;Chanoz-Châtenay;7.5
01085;La Chapelle-du-Châtelard;8.1
01087;Charix;12.1
